"","stat","pval","tf","pval.adjusted","rank"
"MA1498.1",-7.81474995531081,5.50773260992982e-15,"HOXA7",2.32133815085178e-14,67
"MA0910.2",-7.81474995531081,5.50773260992982e-15,"HOXD8",2.32133815085178e-14,68
"MA0516.2",-7.72441991252782,1.12372590806858e-14,"SP2",4.68323758334726e-14,69
"MA1562.1",-7.70032861052199,1.3572862801605e-14,"SOX14",5.62519758333186e-14,70
"MA0653.1",-7.68198744111661,1.56651505133323e-14,"IRF9",6.45646534969386e-14,71
"MA0027.2",-7.6762220934616,1.63863862847488e-14,"EN1",6.71661767495746e-14,72
"MA1511.1",-7.60370361133079,2.87795939145304e-14,"KLF10",1.16682484023042e-13,73
"MA0697.1",-7.59203950639018,3.14933154572e-14,"ZIC3",1.26994666654439e-13,74
"MA1568.1",-7.32510929652798,2.38724050961634e-13,"TCF21(var.2)",9.37306010617786e-13,75
"MA0798.2",-7.207205106352,5.71161590515723e-13,"RFX3",2.1857917931621e-12,76
"MA0051.1",-7.16993142538411,7.5040858277335e-13,"IRF2",2.7990240137446e-12,77
"MA0875.1",-7.01400193663706,2.31615580900433e-12,"BARX1",8.22786777865346e-12,78
"MA0597.1",-6.98933922187407,2.76203668651442e-12,"THAP1",9.76530506227372e-12,79
"MA0772.1",-6.9796739310443,2.95887079480907e-12,"IRF7",1.03629934879229e-11,80
"MA0124.2",-6.9710440692456,3.14621273968899e-12,"Nkx3-1",1.09676388028410e-11,81
"MA0788.1",-6.94541179924863,3.77385116704212e-12,"POU3F3",1.30337637528399e-11,82
"MA1419.1",-6.92228033752625,4.44462700482918e-12,"IRF4",1.52796854636063e-11,83
"MA1475.1",-6.78485032411524,1.1621497032509e-11,"CREB3L4(var.2)",3.90524179560888e-11,84
"MA1470.1",-6.67419947354998,2.486027313474e-11,"BACH2(var.2)",8.20609015863542e-11,85
"MA1644.1",-6.62508866428913,3.47063243668123e-11,"NFYC",1.13556657796675e-10,86
"MA0627.2",-6.57059625485973,5.01175848614108e-11,"POU2F3",1.62555296985272e-10,87
"MA1478.1",-6.56077623924273,5.35323418321557e-11,"DMRTA2",1.72350745506445e-10,88
"MA1584.1",-6.53897364791562,6.19465520972643e-11,"ZIC5",1.9833531272343e-10,89
"MA0747.1",-6.48583699941498,8.82463197527611e-11,"SP8",2.80135125683233e-10,90
"MA0880.1",-6.41198807050986,1.43644810348366e-10,"Dlx3",4.52147799661945e-10,91
"MA0019.1",-6.40481728386191,1.50560267453762e-10,"Ddit3::Cebpa",4.71924199665993e-10,92
"MA1139.1",-6.3927834911209,1.62903535230392e-10,"FOSL2::JUNB(var.2)",5.08477143438798e-10,93
"MA1651.1",-6.36883193587431,1.90485584583468e-10,"ZFP42",5.89635875930568e-10,94
"MA0599.1",-6.33500820078503,2.37343863028549e-10,"KLF5",7.31646784377263e-10,95
"MA0143.4",-6.32048916523979,2.60754261848456e-10,"SOX2",8.005048532467e-10,96
"MA1129.1",-6.26859046914781,3.64354468583022e-10,"FOSL1::JUN(var.2)",1.10491233155664e-09,97
"MA0762.1",-6.2581980409637,3.89476127962302e-10,"ETV2",1.17631251603189e-09,98
"MA0463.2",-6.23066116190359,4.64500710876762e-10,"BCL6",1.3972481061051e-09,99
"MA1512.1",-6.22655912179908,4.76820463028579e-10,"KLF11",1.42854644746715e-09,100
"MA0471.2",-6.21612497140713,5.09614399940366e-10,"E2F6",1.5146308460379e-09,101
"MA0631.1",-6.10978240598616,9.97743275549383e-10,"Six3",2.95363683952317e-09,102
"MA0694.1",-6.08544017659354,1.16178993877147e-09,"ZBTB7B",3.41218619812408e-09,103
"MA0840.1",-5.99871453988431,1.98897886402915e-09,"Creb5",5.77345615784336e-09,104
"MA0050.2",-5.96143401834308,2.50049069110146e-09,"IRF1",7.23010099054919e-09,105
"MA0789.1",-5.90595798546243,3.50625263912669e-09,"POU3F4",1.00602479568789e-08,106
"MA0873.1",-5.89872659730832,3.663429142684e-09,"HOXD12",1.04709507296639e-08,107
"MA1506.1",-5.89770886582736,3.68608527108151e-09,"HOXD10",1.04954947031557e-08,108
"MA0838.1",-5.88256817329496,4.03976547380347e-09,"CEBPG",1.14153978918841e-08,109
"MA1136.1",-5.86803684322415,4.41011979999254e-09,"FOSB::JUNB(var.2)",1.24149032860167e-08,110
"MA0473.3",-5.83771393812583,5.29250756342911e-09,"ELF1",1.47873057764724e-08,111
"MA1133.1",-5.79279537214135,6.92285614684341e-09,"JUN::JUNB(var.2)",1.91275951316488e-08,112
"MA0006.1",-5.78824988991338,7.11277566309795e-09,"Ahr::Arnt",1.95664096982243e-08,113
"MA0609.2",-5.77827785870407,7.54735884830682e-09,"CREM",2.05486485432003e-08,114
"MA1589.1",-5.75628347879459,8.59910785766834e-09,"ZNF140",2.31586081654173e-08,115
"MA0755.1",-5.75041606217466,8.90303600449742e-09,"CUX2",2.38052503919537e-08,116
"MA0748.2",-5.68450663664982,1.31198507464165e-08,"YY2",3.49550309172384e-08,117
"MA0604.1",-5.60412191782376,2.09325670619783e-08,"Atf1",5.55718684278853e-08,118
"MA1599.1",-5.59372448251093,2.22262261754178e-08,"ZNF682",5.87970380385167e-08,119
"MA0029.1",-5.53360656501188,3.13730527449052e-08,"Mecom",8.18332075094381e-08,120
"MA0834.1",-5.50066453058291,3.783839969815e-08,"ATF7",9.80119658847914e-08,121
"MA0786.1",-5.49801026433125,3.84122710064115e-08,"POU3F1",9.915416668091e-08,122
"MA0851.1",-5.47059011859299,4.48564934462204e-08,"Foxj3",1.15389462451312e-07,123
"MA1592.1",-5.44582015388417,5.15701417200458e-08,"ZNF274",1.32203868464447e-07,124
"MA0122.3",-5.43372583006551,5.51926289475821e-08,"Nkx3-2",1.40524577456984e-07,125
"MA0041.1",-5.38215858167635,7.3601962407517e-08,"Foxd3",1.85946090287228e-07,126
"MA0031.1",-5.38051183579276,7.42787331174182e-08,"FOXD1",1.85946090287228e-07,127
"MA0613.1",-5.38051183579276,7.42787331174182e-08,"FOXG1",1.85946090287228e-07,128
"MA0157.2",-5.38051183579276,7.42787331174182e-08,"FOXO3",1.85946090287228e-07,129
"MA1145.1",-5.35246240673856,8.67701325183647e-08,"FOSL2::JUND(var.2)",2.15768396195667e-07,130
"MA0009.2",-5.31776077555142,1.05058714179808e-07,"TBXT",2.60378075674873e-07,131
"MA0107.1",-5.31237749346641,1.0821013358966e-07,"RELA",2.66418348705896e-07,132
"MA1485.1",-5.26788882113401,1.38009191433805e-07,"FERD3L",3.37556907572521e-07,133
"MA0846.1",-5.189611683563,2.10744396062471e-07,"FOXC2",5.07146191814851e-07,134
"MA0695.1",-5.09837067362563,3.42607627758178e-07,"ZBTB7C",8.11381873992382e-07,135
"MA0594.2",-5.06998520951938,3.97871046977073e-07,"HOXA9",9.39277851407899e-07,136
"MA0614.1",-5.04264017083282,4.59176793769002e-07,"Foxj2",1.08058639795481e-06,137
"MA0472.2",-5.02554730434169,5.02024825331604e-07,"EGR2",1.1777060367842e-06,138
"MA0656.1",-5.02106169382887,5.13893283056561e-07,"JDP2(var.2)",1.20176924501628e-06,139
"MA0109.1",-5.01543374728203,5.29169421814936e-07,"HLTF",1.23362621460607e-06,140
"MA1106.1",-5.00574721570163,5.56487099584553e-07,"HIF1A",1.29326908501581e-06,141
"MA0766.2",-4.98029865868674,6.34897435653719e-07,"GATA5",1.46635754488444e-06,142
"MA0510.2",-4.9587482940536,7.09525207679556e-07,"RFX5",1.63365989175601e-06,143
"MA1554.1",-4.95705922687791,7.15720195841744e-07,"RFX7",1.6428531264552e-06,144
"MA0686.1",-4.92152332056578,8.58775781673081e-07,"SPDEF",1.96517402800036e-06,145
"MA1131.1",-4.91071664975991,9.07487659847829e-07,"FOSL2::JUN(var.2)",2.070292948766e-06,146
"MA0632.2",-4.8691231769655,1.12100151274451e-06,"TCFL5",2.52648679307373e-06,147
"MA0847.2",-4.84048109455734,1.2953173803183e-06,"FOXD2",2.91056254734172e-06,148
