"","stat","pval","tf","pval.adjusted","rank"
"MA0139.1",-13.3688845967512,9.19209125538923e-41,"CTCF",6.72284321227487e-40,68
"MA0599.1",-13.2531251844044,4.3285488219199e-40,"KLF5",3.10490136649254e-39,69
"MA0516.2",-13.2401712846845,5.14381537709534e-40,"SP2",3.65455835363155e-39,70
"MA1144.1",-13.0214918955396,9.2360781795074e-39,"FOSL2::JUND",6.26374029264775e-38,71
"MA0519.1",-12.9207623845773,3.43762935708412e-38,"Stat5a::Stat5b",2.26944380565022e-37,72
"MA1625.1",-12.9140780586917,3.74955706030662e-38,"Stat5b",2.4536575149024e-37,73
"MA1138.1",-12.6788221010389,7.74973683501935e-37,"FOSL2::JUNB",4.7002468934345e-36,74
"MA1132.1",-12.5814467843118,2.67126516736309e-36,"JUN::JUNB",1.60706759262328e-35,75
"MA0846.1",-12.3547433388406,4.59275838818101e-35,"FOXC2",2.71920456951034e-34,76
"MA1135.1",-12.3232880445119,6.78778904253006e-35,"FOSB::JUNB",3.98715797301372e-34,77
"MA1142.1",-12.1754482924901,4.20130764015838e-34,"FOSL1::JUND",2.4295934105102e-33,78
"MA1137.1",-12.1737807029682,4.28805498520364e-34,"FOSL1::JUNB",2.46068386073994e-33,79
"MA1141.1",-12.0320029588737,2.41265308198436e-33,"FOS::JUND",1.35326255575965e-32,80
"MA0868.2",-12.0289584938909,2.50328340712088e-33,"SOX8",1.393618971427e-32,81
"MA1128.1",-11.9810275377036,4.46805132981793e-33,"FOSL1::JUN",2.45085756767954e-32,82
"MA1130.1",-11.9251184800768,8.756979800044e-33,"FOSL2::JUN",4.73384560205277e-32,83
"MA1134.1",-11.8664876290399,1.76753855945013e-32,"FOS::JUNB",9.48621413920718e-32,84
"MA0077.1",-11.7617959619906,6.14210923744093e-32,"SOX9",3.24965495824889e-31,85
"MA0039.4",-11.6031928207352,3.97031409353382e-31,"KLF4",2.08581289702551e-30,86
"MA1101.2",-11.3393603184054,8.37639223728364e-30,"BACH2",4.33943653403722e-29,87
"MA0741.1",-11.0689353918856,1.77516197358124e-28,"KLF16",9.13290229166625e-28,88
"MA0773.1",-10.9609245331832,5.89010489029389e-28,"MEF2D",2.96893124875624e-27,89
"MA0847.2",-10.9094745786914,1.03866158652864e-27,"FOXD2",5.20027881577429e-27,90
"MA0472.2",-10.9006536573031,1.14444672087147e-27,"EGR2",5.69171502513413e-27,91
"MA0732.1",-10.8967013270557,1.19524713870416e-27,"EGR3",5.90499579783645e-27,92
"MA0511.2",-10.721285816755,8.08798458362514e-27,"RUNX2",3.86771570473356e-26,93
"MA0624.1",-10.6097207619929,2.68578922897754e-26,"NFATC1",1.25350559947757e-25,94
"MA0162.4",-10.5163411610372,7.26474613916943e-26,"EGR1",3.34537075297555e-25,95
"MA1102.2",-10.4713654749817,1.16955982724439e-25,"CTCFL",5.35270939340071e-25,96
