"count" "threshold" "smoothed_threshold"
"19.5" 3174 2.84562659549445 2.77358890795972
"19.7" 3061 2.77047634445259 2.8602685256917
"19.9" 3308 2.90931517176107 2.91433859572233
"20.1" 2934 3.03326776872538 2.95127791342496
"20.3" 2918 3.01300709817816 2.99936576870715
"20.5" 3147 3.03032318400759 3.06454482710944
"20.7" 2939 3.01091562086352 3.09225055735218
"20.9" 3189 3.23521046377255 3.17128708265294
"21.1" 2777 3.17179641993906 3.21367501615295
"21.3" 2814 3.40818972468195 3.23261260155679
"21.5" 3112 3.24226285150765 3.31812786614203
"21.7" 2862 3.10560354788273 3.31928628583895
"21.9" 3114 3.66278678669874 3.36761588223221
"22.1" 2666 3.17758851842368 3.41013031690723
"22.3" 2804 3.64983770664825 3.50386478678481
"22.5" 3046 3.45483502488275 3.53084259184718
"22.7" 2667 3.57427589727063 3.61623426796871
"22.9" 2997 3.79767581201056 3.66021210424494
"23.1" 2474 3.60454689903135 3.73927499306113
"23.3" 2676 3.86972688802939 3.79355679646994
"23.5" 2847 3.85014946896371 3.78548600264263
"23.7" 2674 3.8456849143147 3.84100628741322
"23.9" 2889 3.75732184287399 3.83103106236687
"24.1" 2566 3.8821483228843 3.85974523011588
"24.3" 2516 3.81985076279766 3.88685558321016
"24.5" 2772 3.99372030770873 3.94360167090593
"24.7" 2637 3.98123667978612 3.99575788904258
"24.9" 2853 4.04105228135286 4.04785787658122
"25.1" 2426 4.14292941356755 4.12159906429931
"25.3" 2571 4.08035070049086 4.17125130132786
"25.5" 2518 4.36242624629916 4.25495067687723
"25.7" 2508 4.22949786492889 4.23191541725835
"25.9" 2719 4.4595491590997 4.34491733135297
"26.1" 2270 4.02775311547312 4.35810322416973
"26.3" 2492 4.64536027096395 4.34226450199544
"26.5" 2604 4.42835571038298 4.35996123716197
"26.7" 2388 4.15030425405746 4.42476334617316
"26.9" 2492 4.54803283493233 4.44400168557568
"27.1" 2165 4.35176366052907 4.44587092703774
"27.3" 2335 4.74155196797658 4.56989886450636
"27.5" 2453 4.43770191769327 4.61997824989835
"27.7" 2322 4.77044394140056 4.79680467947984
"27.9" 2453 4.79842976189225 4.80812406890172
"28.1" 2112 5.23589580843654 4.88362463074794
"28.3" 2160 4.79814891508597 4.95885856546916
"28.5" 2365 4.81520472692439 4.97811374798098
"28.7" 2177 5.14661361500665 4.98742790402042
"28.9" 2397 4.89470567445134 5.04793234163446
"29.1" 2001 5.28246658863377 5.16877650431925
"29.3" 2115 5.10067110315616 5.22319955138583
"29.5" 2198 5.41942554034834 5.33075551705352
"29.7" 2058 5.41872885033953 5.36271808203785
"29.9" 2286 5.4324855027898 5.36970787999804
